| #  | Cuenta (usuario)                    | Seguidores estimados           |
| -- | ----------------------------------- | ------------------------------ |
| 1  | @instagram (oficial)                | ~695 M ([Epidemic Sound][1])   |
| 2  | @cristiano (Cristiano Ronaldo)      | ~667 M ([Wikipedia][2])        |
| 3  | @leomessi (Lionel Messi)            | ~507 M ([Wikipedia][2])        |
| 4  | @selenagomez (Selena Gomez)         | ~417 M ([Epidemic Sound][1])   |
| 5  | @kyliejenner (Kylie Jenner)         | ~392 M ([Wikipedia][2])        |
| 6  | @therock (Dwayne Johnson)           | ~391 M ([Epidemic Sound][1])   |
| 7  | @arianagrande (Ariana Grande)       | ~373 M ([Wikipedia][3])        |
| 8  | @kimkardashian (Kim Kardashian)     | ~354 M ([Wikipedia][2])        |
| 9  | @beyonce (Beyoncé)                  | ~309 M ([Wikipedia][2])        |
| 10 | @khloekardashian (Khloé Kardashian) | ~300 M ([Wikipedia][2])        |
| 11 | @nike (Nike)                        | ~298 M ([Wikipedia][2])        |
| 12 | @justinbieber (Justin Bieber)       | ~293 M ([Wikipedia][2])        |
| 13 | @kendalljenner (Kendall Jenner)     | ~285 M ([Sacnilk][4])          |
| 14 | @taylorswift (Taylor Swift)         | ~282 M ([Sacnilk][4])          |
| 15 | @natgeo (National Geographic)       | ~276 M ([Wikipedia][2])        |
| 16 | @virat.kohli (Virat Kohli)          | ~274 M ([Wikipedia][2])        |
| 17 | @jlo (Jennifer Lopez)               | ~247 M ([Exploding Topics][5]) |
| 18 | @neymarjr (Neymar Jr)               | ~231 M ([Sacnilk][4])          |
| 19 | @nickiminaj (Nicki Minaj)           | ~224 M ([Wikipedia][2])        |
| 20 | @kourtneykardash (Kourtney Kardash) | ~217 M ([Sacnilk][4])          |
| 21 | @wrsbyte                            | ~4 ([Sacnilk][4])              |
