| #  | País           | PIB estimado (USD)                                            |
| -- | -------------- | ------------------------------------------------------------- |
| 1  | Estados Unidos | ~ 30,615 mil millones (≈ 30.6 billones) ([Jagranjosh.com][1]) |
| 2  | China          | ~ 19,398 mil millones ([Jagranjosh.com][1])                   |
| 3  | Alemania       | ~ 5,013 mil millones ([Jagranjosh.com][1])                    |
| 4  | Japón          | ~ 4,279 mil millones ([Jagranjosh.com][1])                    |
| 5  | India          | ~ 4,125 mil millones ([Jagranjosh.com][1])                    |
| 6  | Reino Unido    | ~ 3,958 mil millones ([Jagranjosh.com][1])                    |
| 7  | Francia        | ~ 3,361 mil millones ([Jagranjosh.com][1])                    |
| 8  | Italia         | ~ 2,543 mil millones ([Jagranjosh.com][1])                    |
| 9  | Rusia          | ~ 2,540 mil millones ([Jagranjosh.com][1])                    |
| 10 | Canadá         | ~ 2,283 mil millones ([Jagranjosh.com][1])                    |
| 11 | Brasil         | ~ 2,173 mil millones ([World Bank Data Catalog][2])           |
| 12 | México         | ~ 1,788 mil millones ([World Bank Data Catalog][2])           |
| 13 | Australia      | ~ 1,690 mil millones ([Global PEO Services][3])               |
| 14 | Corea del Sur  | ~ 1,670 mil millones ([Global PEO Services][3])               |
| 15 | España         | ~ 1,410 mil millones ([Global PEO Services][3])               |
| 16 | Países Bajos   | ~ 1,227 mil millones ([Statistics Times][4])                  |
| 17 | Arabia Saudita | ~ 1,237 mil millones ([Wikipedia][5])                         |
| 18 | Turquía        | ~ 1,323 mil millones ([Wikipedia][5])                         |
| 19 | Suiza          | ~ 936 mil millones ([Wikipedia][5])                           |
| 20 | Polonia        | ~ 915 mil millones ([Wikipedia][5])                           |
| 21 | Suecia         | ~ 627 mil millones (aprox.)                                   |
| 22 | Bélgica        | ~ 634 mil millones (aprox.)                                   |
| 23 | Argentina      | ~ 575 mil millones (aprox.)                                   |
| 24 | Noruega        | ~ 600 mil millones (aprox.)                                   |
| 25 | Irlanda        | ~ 580 mil millones (aprox.)                                   |
| 26 | Chile          | ~ 310-350 mil millones (aprox.)                               |
| 27 | Filipinas      | ~ 380 mil millones (aprox.)                                   |
| 28 | Paquistan      | ~ 370 mil millones (aprox.)                                   |
| 29 | Bangladés      | ~ 430 mil millones (aprox.)                                   |
| 30 | Egipto         | ~ 460 mil millones (aprox.)                                   |
| 31 | Casa de Wilmer | ~ 77                                                          |
